2.2,2.58,1,1.25
2.2,2.58,1.25,1.51
2.2,2.58,1.51,1.92
2.2,2.58,1.92,2.96
2.2,2.58,2.96,4
2.58,2.96,1,1.25
2.58,2.96,1.25,1.51
2.58,2.96,1.51,1.92
2.58,2.96,1.92,2.96
2.58,2.96,2.96,4
2.96,3.35,1,1.25
2.96,3.35,1.25,1.51
2.96,3.35,1.51,1.92
2.96,3.35,1.92,2.96
2.96,3.35,2.96,4
3.35,3.68,1,1.25
3.35,3.68,1.25,1.51
3.35,3.68,1.51,1.92
3.35,3.68,1.92,2.96
3.35,3.68,2.96,4
3.68,3.94,1,1.25
3.68,3.94,1.25,1.51
3.68,3.94,1.51,1.92
3.68,3.94,1.92,2.96
3.68,3.94,2.96,4
3.94,4.2,1,1.25
3.94,4.2,1.25,1.51
3.94,4.2,1.51,1.92
3.94,4.2,1.92,2.96
3.94,4.2,2.96,4
